,main
0,"{'temp': 306.18, 'feels_like': 306.77, 'temp_min': 306.18, 'temp_max': 309.99, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 952, 'humidity': 39, 'temp_kf': -3.81}"
1,"{'temp': 307.68, 'feels_like': 306.97, 'temp_min': 307.68, 'temp_max': 309.38, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 949, 'humidity': 29, 'temp_kf': -1.7}"
2,"{'temp': 309.12, 'feels_like': 307.3, 'temp_min': 309.12, 'temp_max': 309.12, 'pressure': 1002, 'sea_level': 1002, 'grnd_level': 948, 'humidity': 20, 'temp_kf': 0}"
3,"{'temp': 305.39, 'feels_like': 304.12, 'temp_min': 305.39, 'temp_max': 305.39, 'pressure': 1004, 'sea_level': 1004, 'grnd_level': 949, 'humidity': 29, 'temp_kf': 0}"
4,"{'temp': 305.03, 'feels_like': 303.72, 'temp_min': 305.03, 'temp_max': 305.03, 'pressure': 1004, 'sea_level': 1004, 'grnd_level': 950, 'humidity': 29, 'temp_kf': 0}"
5,"{'temp': 302.57, 'feels_like': 301.91, 'temp_min': 302.57, 'temp_max': 302.57, 'pressure': 1004, 'sea_level': 1004, 'grnd_level': 949, 'humidity': 37, 'temp_kf': 0}"
6,"{'temp': 301.32, 'feels_like': 300.89, 'temp_min': 301.32, 'temp_max': 301.32, 'pressure': 1005, 'sea_level': 1005, 'grnd_level': 950, 'humidity': 39, 'temp_kf': 0}"
7,"{'temp': 304.12, 'feels_like': 302.95, 'temp_min': 304.12, 'temp_max': 304.12, 'pressure': 1008, 'sea_level': 1008, 'grnd_level': 953, 'humidity': 31, 'temp_kf': 0}"
8,"{'temp': 304.6, 'feels_like': 303.69, 'temp_min': 304.6, 'temp_max': 304.6, 'pressure': 1008, 'sea_level': 1008, 'grnd_level': 953, 'humidity': 33, 'temp_kf': 0}"
9,"{'temp': 307.92, 'feels_like': 306.18, 'temp_min': 307.92, 'temp_max': 307.92, 'pressure': 1005, 'sea_level': 1005, 'grnd_level': 951, 'humidity': 22, 'temp_kf': 0}"
10,"{'temp': 308.34, 'feels_like': 306.82, 'temp_min': 308.34, 'temp_max': 308.34, 'pressure': 1004, 'sea_level': 1004, 'grnd_level': 950, 'humidity': 23, 'temp_kf': 0}"
11,"{'temp': 305.03, 'feels_like': 304.07, 'temp_min': 305.03, 'temp_max': 305.03, 'pressure': 1005, 'sea_level': 1005, 'grnd_level': 951, 'humidity': 32, 'temp_kf': 0}"
12,"{'temp': 303.71, 'feels_like': 302.71, 'temp_min': 303.71, 'temp_max': 303.71, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 951, 'humidity': 33, 'temp_kf': 0}"
13,"{'temp': 303.29, 'feels_like': 302.28, 'temp_min': 303.29, 'temp_max': 303.29, 'pressure': 1005, 'sea_level': 1005, 'grnd_level': 950, 'humidity': 33, 'temp_kf': 0}"
14,"{'temp': 301.22, 'feels_like': 300.62, 'temp_min': 301.22, 'temp_max': 301.22, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 951, 'humidity': 36, 'temp_kf': 0}"
15,"{'temp': 305.72, 'feels_like': 304.38, 'temp_min': 305.72, 'temp_max': 305.72, 'pressure': 1007, 'sea_level': 1007, 'grnd_level': 953, 'humidity': 28, 'temp_kf': 0}"
16,"{'temp': 310.17, 'feels_like': 308.57, 'temp_min': 310.17, 'temp_max': 310.17, 'pressure': 1006, 'sea_level': 1006, 'grnd_level': 952, 'humidity': 20, 'temp_kf': 0}"
17,"{'temp': 311.98, 'feels_like': 310, 'temp_min': 311.98, 'temp_max': 311.98, 'pressure': 1002, 'sea_level': 1002, 'grnd_level': 949, 'humidity': 16, 'temp_kf': 0}"
18,"{'temp': 310.33, 'feels_like': 308.11, 'temp_min': 310.33, 'temp_max': 310.33, 'pressure': 1002, 'sea_level': 1002, 'grnd_level': 948, 'humidity': 16, 'temp_kf': 0}"
19,"{'temp': 306.99, 'feels_like': 304.94, 'temp_min': 306.99, 'temp_max': 306.99, 'pressure': 1003, 'sea_level': 1003, 'grnd_level': 949, 'humidity': 20, 'temp_kf': 0}"
20,"{'temp': 305.1, 'feels_like': 303.34, 'temp_min': 305.1, 'temp_max': 305.1, 'pressure': 1003, 'sea_level': 1003, 'grnd_level': 949, 'humidity': 24, 'temp_kf': 0}"
21,"{'temp': 303.67, 'feels_like': 302.05, 'temp_min': 303.67, 'temp_max': 303.67, 'pressure': 1002, 'sea_level': 1002, 'grnd_level': 948, 'humidity': 25, 'temp_kf': 0}"
22,"{'temp': 302.15, 'feels_like': 301.42, 'temp_min': 302.15, 'temp_max': 302.15, 'pressure': 1003, 'sea_level': 1003, 'grnd_level': 948, 'humidity': 36, 'temp_kf': 0}"
23,"{'temp': 306.93, 'feels_like': 305.41, 'temp_min': 306.93, 'temp_max': 306.93, 'pressure': 1004, 'sea_level': 1004, 'grnd_level': 950, 'humidity': 25, 'temp_kf': 0}"
24,"{'temp': 312.13, 'feels_like': 309.78, 'temp_min': 312.13, 'temp_max': 312.13, 'pressure': 1002, 'sea_level': 1002, 'grnd_level': 949, 'humidity': 14, 'temp_kf': 0}"
25,"{'temp': 313.55, 'feels_like': 311.16, 'temp_min': 313.55, 'temp_max': 313.55, 'pressure': 999, 'sea_level': 999, 'grnd_level': 947, 'humidity': 13, 'temp_kf': 0}"
26,"{'temp': 312.71, 'feels_like': 310.04, 'temp_min': 312.71, 'temp_max': 312.71, 'pressure': 998, 'sea_level': 998, 'grnd_level': 945, 'humidity': 12, 'temp_kf': 0}"
27,"{'temp': 309.05, 'feels_like': 306.73, 'temp_min': 309.05, 'temp_max': 309.05, 'pressure': 999, 'sea_level': 999, 'grnd_level': 946, 'humidity': 16, 'temp_kf': 0}"
28,"{'temp': 307.66, 'feels_like': 305.66, 'temp_min': 307.66, 'temp_max': 307.66, 'pressure': 1000, 'sea_level': 1000, 'grnd_level': 946, 'humidity': 20, 'temp_kf': 0}"
29,"{'temp': 305.66, 'feels_like': 304, 'temp_min': 305.66, 'temp_max': 305.66, 'pressure': 999, 'sea_level': 999, 'grnd_level': 945, 'humidity': 25, 'temp_kf': 0}"
30,"{'temp': 303.73, 'feels_like': 302.3, 'temp_min': 303.73, 'temp_max': 303.73, 'pressure': 1000, 'sea_level': 1000, 'grnd_level': 945, 'humidity': 28, 'temp_kf': 0}"
31,"{'temp': 305.53, 'feels_like': 305.27, 'temp_min': 305.53, 'temp_max': 305.53, 'pressure': 1001, 'sea_level': 1001, 'grnd_level': 947, 'humidity': 36, 'temp_kf': 0}"
32,"{'temp': 311.6, 'feels_like': 310.9, 'temp_min': 311.6, 'temp_max': 311.6, 'pressure': 1000, 'sea_level': 1000, 'grnd_level': 947, 'humidity': 22, 'temp_kf': 0}"
33,"{'temp': 313.84, 'feels_like': 311.99, 'temp_min': 313.84, 'temp_max': 313.84, 'pressure': 997, 'sea_level': 997, 'grnd_level': 944, 'humidity': 15, 'temp_kf': 0}"
34,"{'temp': 312.82, 'feels_like': 310.77, 'temp_min': 312.82, 'temp_max': 312.82, 'pressure': 996, 'sea_level': 996, 'grnd_level': 943, 'humidity': 15, 'temp_kf': 0}"
35,"{'temp': 309.4, 'feels_like': 307.8, 'temp_min': 309.4, 'temp_max': 309.4, 'pressure': 998, 'sea_level': 998, 'grnd_level': 945, 'humidity': 21, 'temp_kf': 0}"
36,"{'temp': 306.98, 'feels_like': 305.74, 'temp_min': 306.98, 'temp_max': 306.98, 'pressure': 999, 'sea_level': 999, 'grnd_level': 945, 'humidity': 27, 'temp_kf': 0}"
37,"{'temp': 304.79, 'feels_like': 304.17, 'temp_min': 304.79, 'temp_max': 304.79, 'pressure': 998, 'sea_level': 998, 'grnd_level': 944, 'humidity': 35, 'temp_kf': 0}"
38,"{'temp': 301.41, 'feels_like': 302.64, 'temp_min': 301.41, 'temp_max': 301.41, 'pressure': 1000, 'sea_level': 1000, 'grnd_level': 945, 'humidity': 57, 'temp_kf': 0}"
39,"{'temp': 303.3, 'feels_like': 305.48, 'temp_min': 303.3, 'temp_max': 303.3, 'pressure': 1002, 'sea_level': 1002, 'grnd_level': 948, 'humidity': 56, 'temp_kf': 0}"
